;dependencia;DIRECCION;;
1;DIR.DE ENCUESTA PERMANENTE DE HOGARES (DIR. E.P.H.);Dirección de Encuesta Permanente de Hogares;"""";"dependencia == ""DIR.DE ENCUESTA PERMANENTE DE HOGARES (DIR. E.P.H.)"" ~ ""Dirección de Encuesta Permanente de Hogares"","
2;DIR.GRAL. RECURSOS HUMANOS Y ORGANIZACION (D.G.RR.HH. Y O.);Dirección General de Recursos Humanos y Organización;"""";"dependencia == ""DIR.GRAL. RECURSOS HUMANOS Y ORGANIZACION (D.G.RR.HH. Y O.)"" ~ ""Dirección General de Recursos Humanos y Organización"","
3;DELEGACION REGIONAL INDEC PATAGONIA (DEL.REG.PATAGON);sin dato;"""";"dependencia == ""DELEGACION REGIONAL INDEC PATAGONIA (DEL.REG.PATAGON)"" ~ ""sin dato"","
4;DIR.CTA.PROD.OCUP.ING. (DIR.CTA.PRO.OCU);Dirección de Cuentas de la Producción, Ocupación e Ingresos;"""";"dependencia == ""DIR.CTA.PROD.OCUP.ING. (DIR.CTA.PRO.OCU)"" ~ ""Dirección de Cuentas de la Producción, Ocupación e Ingresos"","
5;DIR.DE IND.DE PREC.DE CONSUMO (DIR. I.P.C.);Dirección de Indice de Precios de Consumo;"""";"dependencia == ""DIR.DE IND.DE PREC.DE CONSUMO (DIR. I.P.C.)"" ~ ""Dirección de Indice de Precios de Consumo"","
6;DIR.DE LOGISTICA OPERATIVA (DIR.LOG.OPE.);Dirección de Logística Operativa;"""";"dependencia == ""DIR.DE LOGISTICA OPERATIVA (DIR.LOG.OPE.)"" ~ ""Dirección de Logística Operativa"","
7;DIRECCION DE INFORMATICA (DIR.INFORMATICA);Dirección de Informatica;"""";"dependencia == ""DIRECCION DE INFORMATICA (DIR.INFORMATICA)"" ~ ""Dirección de Informatica"","
8;DIR.DE PROG.Y CONTROL PRESUPUESTARIO (DIR.PRO.CON.PRE);Dirección de Programación y Control Presupuestario;"""";"dependencia == ""DIR.DE PROG.Y CONTROL PRESUPUESTARIO (DIR.PRO.CON.PRE)"" ~ ""Dirección de Programación y Control Presupuestario"","
9;DIR.DE EST.DE ING. Y GASTOS DE LOS HOGARES (DIR.ING.GAS.HOG);Dirección de Estudios de Ingresos y Gastos de los Hogares;"""";"dependencia == ""DIR.DE EST.DE ING. Y GASTOS DE LOS HOGARES (DIR.ING.GAS.HOG)"" ~ ""Dirección de Estudios de Ingresos y Gastos de los Hogares"","
10;DIR.NAC.DE ESTAD.SOCIALES Y DE POBLACION (DIR.N.E.SOC.POB);Dirección Nacional de Estadisticas Sociales y Población;"""";"dependencia == ""DIR.NAC.DE ESTAD.SOCIALES Y DE POBLACION (DIR.N.E.SOC.POB)"" ~ ""Dirección Nacional de Estadisticas Sociales y Población"","
11;DIR.DE ESTAD.DEL SECTOR SECUNDARIO (DIR.EST.SEC.SEC);Dirección de Estadísticas del Sector Secundario;"""";"dependencia == ""DIR.DE ESTAD.DEL SECTOR SECUNDARIO (DIR.EST.SEC.SEC)"" ~ ""Dirección de Estadísticas del Sector Secundario"","
12;COORDINACION TECNICA NOA (COORD.TEC.NOA);sin dato;"""";"dependencia == ""COORDINACION TECNICA NOA (COORD.TEC.NOA)"" ~ ""sin dato"","
13;DIR.DE CAPAC.Y CARRERA DEL PERSONAL (D.CAP.CARR.PERS);Dirección de Capacitación y Carrera de Personal;"""";"dependencia == ""DIR.DE CAPAC.Y CARRERA DEL PERSONAL (D.CAP.CARR.PERS)"" ~ ""Dirección de Capacitación y Carrera de Personal"","
14;DIRECCION DE COMPRAS Y CONTRATACIONES (DIR.COMP.CONT.);Dirección de Compras y Contrataciones;"""";"dependencia == ""DIRECCION DE COMPRAS Y CONTRATACIONES (DIR.COMP.CONT.)"" ~ ""Dirección de Compras y Contrataciones"","
15;DIR.DE ADMINISTRACION DE RECURSOS HUMANOS (DIR.RR.HH.);Dirección de Administración de Recursos Humanos;"""";"dependencia == ""DIR.DE ADMINISTRACION DE RECURSOS HUMANOS (DIR.RR.HH.)"" ~ ""Dirección de Administración de Recursos Humanos"","
16;DIR.DE ESTAD.DE SECTOR TERC.Y PREC. (DIR.EST.SEC.TER);Dirección Nacional de Estadísticas del Sector Terciario y Precios;"""";"dependencia == ""DIR.DE ESTAD.DE SECTOR TERC.Y PREC. (DIR.EST.SEC.TER)"" ~ ""Dirección Nacional de Estadísticas del Sector Terciario y Precios"","
